what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1336787560828
stopped,bundle,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser",1336787560828
stopped,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1336787560828
stopped,bundle,org.eclipse.wst.validation.ui,1.2.104.v200904232035,"org.eclipse.wst.validation.ui",1336787560828
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.408.v200911241806,"org.eclipse.wst.ws.explorer",1336787560828
stopped,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1336787560828
stopped,bundle,org.eclipse.wst.ws.ui,1.1.100.v200903112221,"org.eclipse.wst.ws.ui",1336787560828
stopped,bundle,org.eclipse.wst.command.env.ui,1.1.2.v200811200248,"org.eclipse.wst.command.env.ui",1336787560828
stopped,bundle,org.eclipse.wst.common.project.facet.ui,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.ui",1336787560828
stopped,bundle,org.eclipse.wst.internet.monitor.ui,1.0.305.v20100123,"org.eclipse.wst.internet.monitor.ui",1336787560828
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.0.v200904240436,"org.eclipse.wst.xsl.jaxp.launching",1336787560828
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.0.v200904241348,"org.eclipse.wst.xsl.launching",1336787560828
stopped,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1336787560828
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1336787560828
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1336787560828
stopped,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1336787560828
stopped,bundle,org.eclipse.ui.views.properties.tabbed,3.5.0.I20090429-1800,"org.eclipse.ui.views.properties.tabbed",1336787560828
stopped,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1336787560828
stopped,bundle,org.eclipse.update.ui,3.2.201.R35x_v20090813,"org.eclipse.update.ui",1336787560828
stopped,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1336787560828
stopped,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1336787560828
